feature,asset,mean,std,min,max
vol_6h,XRP,0.007979547069055045,0.007390947783033398,0.0003074550361636,0.1221092366394906
vol_6h,SOL,0.01010721039449387,0.007839148127750762,0.0004827851900912,0.1262069661852034
macd_signal_pct,BTC,2.531103580769034e-05,0.0066834221531666205,-0.0476738073289979,0.0373987409791949
macd_signal_pct,ETH,-3.148392460496869e-05,0.008970212781952909,-0.0778412808288425,0.056751911654695
macd_signal_pct,XRP,-2.4288832912289417e-05,0.01082547372259022,-0.0989732271704417,0.0979082960487097
macd_signal_pct,SOL,0.00014612879419716757,0.013317054427669846,-0.2095735065442748,0.0836834108642617
ret_3h,BTC,0.00012707743253558178,0.011002764359969063,-0.1262260493832058,0.135249820371669
ret_3h,ETH,0.0001817409841287001,0.01447699394383346,-0.2046660524174295,0.1595777065593318
ret_3h,XRP,0.0003124846168741092,0.018476430389972417,-0.3549272085585089,0.5733896515311512
ret_3h,SOL,0.0005139675289853332,0.02171850162600396,-0.262192840214544,0.335586765055939
macd_hist_pct,BTC,-2.1619088586205124e-06,0.0021335011266446964,-0.0149286443661898,0.0134543190718334
macd_hist_pct,ETH,-4.70021519419771e-06,0.0028132331452569185,-0.0261729560688759,0.0215013627282185
macd_hist_pct,XRP,-4.113322427849037e-06,0.0035605081316665388,-0.0789517642143825,0.0481053103599839
macd_hist_pct,SOL,-2.2598661908706784e-06,0.0041000232400815,-0.0459993923723561,0.0396208425258403
downside_vol_72h,BTC,0.003481923818220881,0.001972933189710587,0.0004455675581242,0.0189938913135902
downside_vol_72h,ETH,0.004566817169933172,0.002695455968487698,0.0006879290212617,0.027508221307329
downside_vol_72h,XRP,0.005496424850158088,0.003847549919181175,0.0010719484704058,0.0379272042441436
downside_vol_72h,SOL,0.006546580578285196,0.0037321825850310268,0.0016146762262651,0.0344754655341872
vol_z_24,BTC,-0.02010554017364529,1.0578218789827132,-4.491657424304441,4.0450262652623605
vol_z_24,ETH,-0.02126589346929197,1.0453240389743068,-4.538260152696696,4.015627526049405
vol_z_24,XRP,-0.03551699563703817,1.0675175602563864,-4.657131316012295,4.225570374001184
vol_z_24,SOL,-0.029878448852240707,1.0511602550128716,-4.537097559743436,4.2372939012389566
log_ret_3h,BTC,6.655297447360291e-05,0.011003030879625147,-0.1349335745173313,0.1268527327679162
log_ret_3h,ETH,7.668915859087055e-05,0.014506848403652739,-0.2289931926759562,0.1480558927678746
log_ret_3h,XRP,0.00014356063912754057,0.018355057442623182,-0.4383921136059569,0.4532323057534267
log_ret_3h,SOL,0.00028024665883761836,0.021580486252203747,-0.3040727896304644,0.2893707196761342
close_to_ema_72,BTC,0.0008211303352534003,0.02583894009753807,-0.1976402651369937,0.1660120606418216
close_to_ema_72,ETH,0.0010399575031720299,0.034466152021383055,-0.2902844561961425,0.3060096533900931
close_to_ema_72,XRP,0.0016881240605541958,0.04380741054631468,-0.3143946514309362,0.6582228326318
close_to_ema_72,SOL,0.0033718474388401325,0.05103633063385475,-0.4878875410817216,0.5760477149079379
dow_cos,BTC,0.0008465388169370686,0.7071055691531676,-0.9009688679024191,1.0
dow_cos,ETH,0.0008465388169370686,0.7071055691531676,-0.9009688679024191,1.0
dow_cos,XRP,0.0008465388169370686,0.7071055691531676,-0.9009688679024191,1.0
dow_cos,SOL,0.0008465388169370686,0.7071055691531676,-0.9009688679024191,1.0
log_ret_1h_close,BTC,2.2374064439786535e-05,0.006397435214521359,-0.093810478045997,0.1161452121527294
log_ret_1h_close,ETH,2.5485581684066332e-05,0.008383435809100455,-0.1401747313401836,0.0912607451684016
log_ret_1h_close,XRP,4.80258627739024e-05,0.010810742400946186,-0.2249381437686812,0.2208177230112842
log_ret_1h_close,SOL,9.250098933068053e-05,0.012705256576142014,-0.2142338734965251,0.170976929956681
lower_shadow_pct,BTC,0.0023677944131784237,0.0032362278350864505,0.0,0.1485646787165578
lower_shadow_pct,ETH,0.00312790442805543,0.004316795476982568,0.0,0.2017520865219559
lower_shadow_pct,XRP,0.00389009451874759,0.006145818334286167,0.0,0.4290064102562383
lower_shadow_pct,SOL,0.004582551731674155,0.0059143107296333,0.0,0.2045832100675829
ret_48h,BTC,0.002020125006311428,0.04267658661486765,-0.2616316471296749,0.2719053429055316
ret_48h,ETH,0.0030598829470868507,0.05702484396175322,-0.3351373743454638,0.4992402040594812
ret_48h,XRP,0.004939373846504018,0.07580508693986031,-0.4828774677401566,1.189598662207358
ret_48h,SOL,0.008117963675028672,0.08515197047077336,-0.5972267010641729,0.7138346523258063
close_to_sma_12,BTC,0.00015195876447791595,0.011723012502101952,-0.1083114443878079,0.0966557251017385
close_to_sma_12,ETH,0.00019520953787249457,0.015413562761441164,-0.1909087643739601,0.1334852143942619
close_to_sma_12,XRP,0.0003461829914589112,0.0196840710743176,-0.3092482676477954,0.4500720925211829
close_to_sma_12,SOL,0.0006285467187938596,0.022947823376303543,-0.2647772216976154,0.4208436966587969
close_to_ema_24,BTC,0.00024844256705289393,0.01463965716267877,-0.1379065526265125,0.1104931413477559
close_to_ema_24,ETH,0.0003041134083817723,0.019317448782188416,-0.2291351563108196,0.16662228810152
close_to_ema_24,XRP,0.0005296846883647442,0.024559188840586766,-0.253187958283349,0.4736919250377831
close_to_ema_24,SOL,0.0010488568178086694,0.028625785727773627,-0.3216738623926991,0.4376421972472528
close_to_ema_48,BTC,0.0005302088206031253,0.020990381438913595,-0.1698912504158285,0.1474487593085351
close_to_ema_48,ETH,0.0006675745338376293,0.027872297692230378,-0.2677157109832206,0.253535339465021
close_to_ema_48,XRP,0.0011091329217008312,0.03544015053373734,-0.2941989035061723,0.5841614461794808
close_to_ema_48,SOL,0.0022021457124424214,0.04122761303509987,-0.4332600698094659,0.5279377654471133
quote_vol_ratio_24,BTC,1.0231856876203447,0.719100871767487,0.0,13.33607468873534
quote_vol_ratio_24,ETH,1.021226392603536,0.7541006156715176,0.0,11.80837394107636
quote_vol_ratio_24,XRP,1.0244960120416065,0.745314263860026,0.0,17.47940019884244
