Feature Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
extended,0.06676419724803069,0.6405914168217354,0.06633508681600823,0.00032708204910076905,0.11289926271188995,0.6185424237351239,0.05618003739478357,0.0008676144978213941,btc,long_only,with_cost
raw,0.015775736577239564,0.5274259371170303,0.12984876382492835,0.00010116553641694969,6.9412229403953e-05,0.5309116344261751,0.08576499715701971,1.057498894808489e-05,btc,long_only,with_cost
extended,0.11957393972026306,0.6405914168217354,0.06633508681600823,0.0006066400175126296,0.15748299208908623,0.6185424237351239,0.05618003739478357,0.001143624817502221,btc,long_only,no_cost
raw,0.05144547867963485,0.5274259371170303,0.12984876382492835,0.0003216788973208415,0.04215491997615631,0.5309116344261751,0.08576499715701971,0.000257571537966674,btc,long_only,no_cost
extended,-0.03381674687661806,0.5901338836494224,0.08538466447503508,-0.0001577403470537898,-0.019750377657114584,0.5447602361785476,0.20686206561038756,-0.00011649124757473917,btc,short_only,with_cost
raw,-0.037167015154934965,0.5209074607486963,0.09724008229535973,-0.00019459276539458874,-0.019237575630476286,0.499358917816515,0.36957723335909165,-0.00013105005221609724,btc,short_only,with_cost
extended,0.006709776957963759,0.5901338836494224,0.08538466447503508,9.744301176429448e-05,0.015186750159783196,0.5447602361785476,0.20686206561038756,8.537569815849016e-05,btc,short_only,no_cost
raw,0.005646311558730974,0.5209074607486963,0.09724008229535973,8.155209910317927e-06,0.003314610591412642,0.499358917816515,0.36957723335909165,2.247988341437089e-05,btc,short_only,no_cost
extended,0.03409305214625313,0.716618713472766,0.053384174538228676,0.0001900463113366273,0.05946221322211706,0.5819287657009813,0.067524542218756,0.00045951297803670536,btc,long_short,with_cost
raw,-0.00027283674947764947,0.6209423929852035,0.12016260213255996,2.9033328308702955e-06,-0.009186478903684053,0.4927751186695496,0.15525863526856584,-4.552457360594202e-05,btc,long_short,with_cost
extended,0.0807453711176222,0.716618713472766,0.053384174538228676,0.00047224874830695626,0.10396158617084743,0.5819287657009813,0.067524542218756,0.0007312552996584253,btc,long_short,no_cost
raw,0.0332048026697231,0.6209423929852035,0.12016260213255996,0.00017463476808185046,0.025258726796833043,0.4927751186695496,0.15525863526856584,0.00015806624400966756,btc,long_short,no_cost
extended,0.009584898322672258,0.5966955268479461,0.06913212227912932,4.203594162156714e-05,0.030674412743169135,0.5709652529060638,0.07525439527947549,0.000316051805537967,eth,long_only,with_cost
raw,0.012245538237708704,0.5339369270303295,0.16022546569741025,0.00012015498191819748,0.023845828656720216,0.516876663079999,0.16628517714051844,0.00020434659207997993,eth,long_only,with_cost
extended,0.05237739076164773,0.5966955268479461,0.06913212227912932,0.00031135799186704,0.06386053018888106,0.5709652529060638,0.07525439527947549,0.0005769403621147919,eth,long_only,no_cost
raw,0.0460534558522572,0.5339369270303295,0.16022546569741025,0.00033616693462918285,0.0523643687388586,0.516876663079999,0.16628517714051844,0.0004078391852330361,eth,long_only,no_cost
extended,-0.06391330498234812,0.5887499121614629,0.024512780189714048,-0.00043396457520651925,-0.04024828156660287,0.5637348435760134,0.040975096412871,-0.00026144578199096717,eth,short_only,with_cost
raw,-0.02528993714510981,0.5342360551123945,0.0772174117085045,-0.0001268309962436414,-0.010652807989224158,0.510646658854381,0.2053719318594298,-5.881969445523753e-05,eth,short_only,with_cost
extended,-0.01638941779519514,0.5887499121614629,0.024512780189714048,-0.00012967926205302194,0.0033475327430139284,0.5637348435760134,0.040975096412871,2.7063967453334968e-05,eth,short_only,no_cost
raw,0.016453600446193883,0.5342360551123945,0.0772174117085045,0.00012041463736510369,0.018892204362085774,0.510646658854381,0.2053719318594298,0.00012179302244473436,eth,short_only,no_cost
extended,-0.0057594963528292,0.705441590990983,0.061320153558588206,-6.172008591827746e-05,-0.004806198230068243,0.6041900445939205,0.07381004155002785,3.2765978523532123e-06,eth,long_short,with_cost
raw,-0.0037081867918103122,0.6127037666761922,0.12604790665322357,2.744418452050079e-05,0.009021966598146289,0.5423739335295605,0.16650345094281474,5.988737870758463e-05,eth,long_short,with_cost
extended,0.03549551542298782,0.705441590990983,0.061320153558588206,0.00019605652357108434,0.026681025607339554,0.6041900445939205,0.07381004155002785,0.00025922957021646517,eth,long_short,no_cost
raw,0.030593906250700787,0.6127037666761922,0.12604790665322357,0.00022434310900126573,0.03756874500993237,0.5423739335295605,0.16650345094281474,0.0002522979158577767,eth,long_short,no_cost
extended,0.014554227880980675,0.5927395615663262,0.0725574839335453,0.00022988955874191162,0.05688582578295439,0.5637308570146098,0.06786027590278661,0.000675255494175108,xrp,long_only,with_cost
raw,0.0076377517816740145,0.54107609146119,0.18749100395242566,0.00012050113346856986,0.0011094435883938466,0.517742633276907,0.1754088872863775,0.00010062805729849516,xrp,long_only,with_cost
extended,0.03837311744761391,0.5927395615663262,0.0725574839335453,0.0004845642375586784,0.085198660528161,0.5637308570146098,0.06786027590278661,0.0009263992904697578,xrp,long_only,no_cost
raw,0.030814728778716924,0.54107609146119,0.18749100395242566,0.0003056616924820928,0.017185860966210373,0.517742633276907,0.1754088872863775,0.0002883367526782447,xrp,long_only,no_cost
extended,0.023536274184941232,0.6156048622782359,0.020778622743804515,0.00020873183097394775,-0.02676909322344334,0.5485506932934694,0.03054142897029062,-0.00046630310241984165,xrp,short_only,with_cost
raw,-0.0338792220643918,0.5117875113997659,0.2373005690108521,-0.0006251802700108712,-0.04051293666754349,0.47703499084593826,0.2857367278011617,-0.0008126626108454701,xrp,short_only,with_cost
extended,0.04691805617494648,0.6156048622782359,0.020778622743804515,0.0005052219691032601,-0.008476221302150963,0.5485506932934694,0.03054142897029062,-0.00019799910367675834,xrp,short_only,no_cost
raw,-0.021327852389008087,0.5117875113997659,0.2373005690108521,-0.00041489469862499777,-0.03564836497721258,0.47703499084593826,0.2857367278011617,-0.0006570135421689342,xrp,short_only,no_cost
extended,0.022151396333348006,0.6742384850144195,0.04541339675791398,0.00030137859089614743,0.03165772564109944,0.5411200846067824,0.0462663707809616,0.0004225654431157838,xrp,long_short,with_cost
raw,-0.002561252101221053,0.6242305873925891,0.15403974928299302,-2.9803306939891637e-06,-0.015110935694850355,0.46029237639684806,0.1729367889767663,-0.00029676338888819033,xrp,long_short,with_cost
extended,0.045961446173343086,0.6742384850144195,0.04541339675791398,0.0005540935072787211,0.05819857022229779,0.5411200846067824,0.0462663707809616,0.0006753503153037944,xrp,long_short,no_cost
raw,0.014516142563437886,0.6242305873925891,0.15403974928299302,0.00014914867343178542,-0.008611871795619513,0.46029237639684806,0.1729367889767663,-0.00015078692483174174,xrp,long_short,no_cost
extended,-0.0034782453684831,0.5965136059024011,0.025110870286876724,6.53164130752287e-05,0.14557950354811217,0.5780997656537031,0.0447970501365837,0.001954347376008231,sol,long_only,with_cost
raw,-0.013495711764249657,0.5051321658013295,0.1669784001186979,-0.0003432651887601961,0.02795514381230258,0.5114627716594757,0.14392217842588423,0.0003463166202707966,sol,long_only,with_cost
extended,0.007975546938259557,0.5965136059024011,0.025110870286876724,0.0003137991266614065,0.17303869418929593,0.5780997656537031,0.0447970501365837,0.0022042350906493,sol,long_only,no_cost
raw,-0.0016761165900921401,0.5051321658013295,0.1669784001186979,-0.00012678898679652112,0.05245847674188357,0.5114627716594757,0.14392217842588423,0.0005614001886600466,sol,long_only,no_cost
extended,-0.03334416498220615,0.5287141160433206,0.1147971311962965,-0.00046863459494093576,-0.00845064508937026,0.5229982477374133,0.2796834771447167,-8.11146763589086e-05,sol,short_only,with_cost
raw,-0.03451651125772339,0.49357269890627153,0.13902894239223043,-0.0005180473649506729,-0.011883727582122545,0.4956542988190714,0.4374850341996148,-0.00014625484243931502,sol,short_only,with_cost
extended,-0.019031657113174012,0.5287141160433206,0.1147971311962965,-0.00025741104917260005,0.00920732564355699,0.5229982477374133,0.2796834771447167,9.669948839942064e-05,sol,short_only,no_cost
raw,-0.02549313142899819,0.49357269890627153,0.13902894239223043,-0.00031615892476451624,-0.0010150134267222469,0.4956542988190714,0.4374850341996148,-6.134500485979211e-06,sol,short_only,no_cost
extended,-0.0010244750481231803,0.6286709891834259,0.039343984091132,6.499731229067737e-05,0.07826090309797605,0.5441337449579166,0.0814777987573383,0.0007923916601553132,sol,long_short,with_cost
raw,-0.002613367666841916,0.63541214378131,0.1721096413394711,3.482032158381227e-05,0.016802371514013467,0.5133286953347344,0.17985626544315897,0.00014959764435190493,sol,long_short,with_cost
extended,0.013837997870232386,0.6286709891834259,0.039343984091132,0.0003048049288305561,0.10849063709581909,0.5441337449579166,0.0814777987573383,0.0010176795790043079,sol,long_short,no_cost
raw,0.007466672161870979,0.63541214378131,0.1721096413394711,0.0002246405201292071,0.04425263342298365,0.5133286953347344,0.17985626544315897,0.0003632352990154391,sol,long_short,no_cost
