close,fwd_ret_open_1h,RSI,position,raw_return,position_change,transaction_cost,gross_return,net_return,gross_equity_curve,net_equity_curve
61864.0,-0.0002508728824517,40.66603295598712,0.0,-0.0002508728824517,0.0,0.0,-0.0,-0.0,1.0,1.0
61848.48,-0.002022523431457,41.530958242370446,0.0,-0.002022523431457,0.0,0.0,-0.0,-0.0,1.0,1.0
61723.38,0.0021751883686234,41.570348604743714,0.0,0.0021751883686234,0.0,0.0,0.0,0.0,1.0,1.0
61857.64,0.0029401375577635,42.90452133459291,0.0,0.0029401375577635,0.0,0.0,0.0,0.0,1.0,1.0
62039.52,0.0002980358326434,49.33267338008441,0.0,0.0002980358326434,0.0,0.0,0.0,0.0,1.0,1.0
62058.0,-0.0022240481124032,56.01914381349402,0.0,-0.0022240481124032,0.0,0.0,-0.0,-0.0,1.0,1.0
61920.0,0.0026004526163523,51.360785178442775,0.0,0.0026004526163523,0.0,0.0,0.0,0.0,1.0,1.0
62081.01,-0.0018524183160035,52.97122223835048,0.0,-0.0018524183160035,0.0,0.0,-0.0,-0.0,1.0,1.0
61966.01,-0.0014096437708349,45.673154026848394,0.0,-0.0014096437708349,0.0,0.0,-0.0,-0.0,1.0,1.0
61878.66,-1.0181215947535628e-05,41.904221601245,0.0,-1.0181215947535628e-05,0.0,0.0,-0.0,-0.0,1.0,1.0
61878.03,0.0009774066821455,45.01022330106815,0.0,0.0009774066821455,0.0,0.0,0.0,0.0,1.0,1.0
61938.51,0.0003792470952239,44.595876822220035,0.0,0.0003792470952239,0.0,0.0,0.0,0.0,1.0,1.0
61961.99,-0.0002096446208966,42.34321288830408,0.0,-0.0002096446208966,0.0,0.0,-0.0,-0.0,1.0,1.0
61949.01,0.0006586061665876,42.91379245757559,0.0,0.0006586061665876,0.0,0.0,0.0,0.0,1.0,1.0
61989.81,0.0012352030115916,44.92986207006809,0.0,0.0012352030115916,0.0,0.0,0.0,0.0,1.0,1.0
62066.38,-0.0006853952171852,43.56193275887456,0.0,-0.0006853952171852,0.0,0.0,-0.0,-0.0,1.0,1.0
62023.83,0.0012588707825893,46.243619489558704,0.0,0.0012588707825893,0.0,0.0,0.0,0.0,1.0,1.0
62101.92,0.0019334345862414,47.326122664725965,0.0,0.0019334345862414,0.0,0.0,0.0,0.0,1.0,1.0
62222.0,0.0005743950008672,51.46772834330838,0.0,0.0005743950008672,0.0,0.0,0.0,0.0,1.0,1.0
62257.73,0.0073608530217854,58.92156745866104,0.0,0.0073608530217854,0.0,0.0,0.0,0.0,1.0,1.0
62715.99,6.393902672363616e-05,66.84053005879846,0.0,6.393902672363616e-05,0.0,0.0,0.0,0.0,1.0,1.0
62720.01,-0.0018813772510559,72.17332290301287,0.0,-0.0018813772510559,0.0,0.0,-0.0,-0.0,1.0,1.0
