close,fwd_ret_open_1h,SMA_s,SMA_l,position,raw_return,position_change,transaction_cost,gross_return,net_return,gross_equity_curve,net_equity_curve
2370.4,-0.00140903894263,2360.862333333333,,1.0,-0.00140903894263,0.0,0.0,-0.00140903894263,-0.00140903894263,0.9541636098323919,0.9538258250916811
2367.06,0.0030206119802116,2360.4663333333333,,1.0,0.0030206119802116,0.0,0.0,0.0030206119802116,0.0030206119802116,0.9570457678633336,0.9567069628059883
2374.22,0.0038412615511622,2360.203,,1.0,0.0038412615511622,0.0,0.0,0.0038412615511622,0.0038412615511622,0.9607220309741296,0.9603819244779442
2383.34,-0.0035160740809117,2360.8443333333335,,1.0,-0.0035160740809117,0.0,0.0,-0.0035160740809117,-0.0035160740809117,0.9573440611420606,0.9570051504855113
2374.97,0.0027958365614577,2360.938,,1.0,0.0027958365614577,0.0,0.0,0.0027958365614577,0.0027958365614577,0.960020638670096,0.959680780474742
2381.6,-3.7789721195724546e-05,2360.8403333333335,,1.0,-3.7789721195724546e-05,0.0,0.0,-3.7789721195724546e-05,-3.7789721195724546e-05,0.9599843597578185,0.959644514405611
2381.51,-0.0018307712333771,2360.4973333333332,,1.0,-0.0018307712333771,0.0,0.0,-0.0018307712333771,-0.0018307712333771,0.958226848007482,0.9578876248343692
2377.15,-0.0008329301895126,2359.758333333333,,1.0,-0.0008329301895126,0.0,0.0,-0.0008329301895126,-0.0008329301895126,0.9574287119373751,0.9570897713134842
2375.17,0.004643878122408,2359.012666666667,,1.0,0.004643878122408,0.0,0.0,0.004643878122408,0.004643878122408,0.9618748941865064,0.9615343795636674
2386.2,0.0046727013661889,2359.0986666666668,,1.0,0.0046727013661889,0.0,0.0,0.0046727013661889,0.0046727013661889,0.9663694483186746,0.9660273425726922
2397.35,-0.0078253071099337,2359.3733333333334,,1.0,-0.0078253071099337,0.0,0.0,-0.0078253071099337,-0.0078253071099337,0.9588073106039238,0.9584678819404677
2378.59,-0.0047843470291223,2359.837666666667,,1.0,-0.0047843470291223,0.0,0.0,-0.0047843470291223,-0.0047843470291223,0.9542200436959352,0.9538822389769966
2367.21,0.0210754432433117,2360.827333333333,,1.0,0.0210754432433117,0.0,0.0,0.0210754432433117,0.0210754432433117,0.9743306540684793,0.9739857299653595
2417.05,0.0068801456290596,2362.9700000000003,,1.0,0.0068801456290596,0.0,0.0,0.0068801456290596,0.0068801456290596,0.9810341908593274,0.9806868936281472
2433.73,-0.0075932827388411,2365.141666666667,,1.0,-0.0075932827388411,0.0,0.0,-0.0075932827388411,-0.0075932827388411,0.9735849208716624,0.9732402607665529
2415.25,0.0070137666908187,2367.238666666666,,1.0,0.0070137666908187,0.0,0.0,0.0070137666908187,0.0070137666908187,0.9804134183603554,0.9800663408896811
2432.2,-0.0013526903736961,2369.9003333333335,,1.0,-0.0013526903736961,0.0,0.0,-0.0013526903736961,-0.0013526903736961,0.9790872225670969,0.9787406145847761
2428.9,0.0001605665115895,2372.6206666666667,,1.0,0.0001605665115895,0.0,0.0,0.0001605665115895,0.0001605665115895,0.9792444311869665,0.978897767551011
2429.3,-0.0020376323946502,2376.345666666667,,1.0,-0.0020376323946502,0.0,0.0,-0.0020376323946502,-0.0020376323946502,0.9772490910116991,0.9769031337487983
2424.35,-0.0014148180535734,2379.1376666666665,,1.0,-0.0014148180535734,0.0,0.0,-0.0014148180535734,-0.0014148180535734,0.9758664613548976,0.9755209935585781
2420.91,-0.0026849407867289,2382.338,,1.0,-0.0026849407867289,0.0,0.0,-0.0026849407867289,-0.0026849407867289,0.973246317690405,0.9729017774546624
2414.41,0.0044524335137776,2384.690666666667,,1.0,0.0044524335137776,0.0,0.0,0.0044524335137776,0.0044524335137776,0.9775796322124505,0.9772335579342154
2425.15,-0.0029853700374407,2387.3906666666667,,1.0,-0.0029853700374407,0.0,0.0,-0.0029853700374407,-0.0029853700374407,0.9746611952692311,0.974316154150777
2417.91,-0.0067578745367919,2389.537333333333,,1.0,-0.0067578745367919,0.0,0.0,-0.0067578745367919,-0.0067578745367919,0.968074557195722,0.9677318478218565
2401.57,-0.0008202933069062,2391.524,,1.0,-0.0008202933069062,0.0,0.0,-0.0008202933069062,-0.0008202933069062,0.9672804521158681,0.9669380238642082
2399.6,0.0024837369405861,2393.163333333333,,1.0,0.0024837369405861,0.0,0.0,0.0024837369405861,0.0024837369405861,0.9696829223066952,0.9693396435533371
2405.56,0.005146389421218,2394.9459999999995,,1.0,0.005146389421218,0.0,0.0,0.005146389421218,0.005146389421218,0.9746732882399901,0.9743282428404872
2417.94,0.0026179201389608,2397.2173333333335,,1.0,0.0026179201389608,0.0,0.0,0.0026179201389608,0.0026179201389608,0.9772249050701808,0.9768789563693777
2424.28,-0.0037825663702213,2400.014666666667,,1.0,-0.0037825663702213,0.0,0.0,-0.0037825663702213,-0.0037825663702213,0.9735284870081196,0.9731838468812379
2415.1,0.0018881127567689,2401.266,,1.0,0.0018881127567689,0.0,0.0,0.0018881127567689,0.0018881127567689,0.9753666185635176,0.9750213277172158
2419.66,0.0022523732575101,2402.9080000000004,,1.0,0.0022523732575101,0.0,0.0,0.0022523732575101,0.0022523732575101,0.9775635082514381,0.9772174396812682
2425.13,-0.0024328693013129,2404.8436666666666,,1.0,-0.0024328693013129,0.0,0.0,-0.0024328693013129,-0.0024328693013129,0.9751852240021295,0.97483999737156
2419.22,-0.0008391134332552,2406.3436666666666,,1.0,-0.0008391134332552,0.0,0.0,-0.0008391134332552,-0.0008391134332552,0.9743669329807574,0.9740219960344911
2417.19,0.0023167396853369,2407.472,,1.0,0.0023167396853369,0.0,0.0,0.0023167396853369,0.0023167396853369,0.976624287522474,0.9762785514470954
2422.8,-0.0053161850593737,2409.0663333333337,,1.0,-0.0053161850593737,0.0,0.0,-0.0053161850593737,-0.0053161850593737,0.9714323720765256,0.9710884739981054
2409.91,0.0018921868451517,2410.01,,1.0,0.0018921868451517,0.0,0.0,0.0018921868451517,0.0018921868451517,0.9732705036319234,0.9729259548340832
2414.46,0.0002236515674249,2411.108333333333,,1.0,0.0002236515674249,0.0,0.0,0.0002236515674249,0.0002236515674249,0.9734881771055891,0.9731435512488703
2415.01,-0.0042153034563005,2412.3703333333333,,1.0,-0.0042153034563005,0.0,0.0,-0.0042153034563005,-0.0042153034563005,0.9693846290279683,0.9690414558738144
2404.82,0.0022163728829065,2413.3586666666665,,1.0,0.0022163728829065,0.0,0.0,0.0022163728829065,0.0022163728829065,0.9715331468328523,0.9711892130790254
2410.15,-0.0031491685199321,2414.1569999999997,,1.0,-0.0031491685199321,0.0,0.0,-0.0031491685199321,-0.0031491685199321,0.9684736252307757,0.9681307745822993
2402.57,-0.0025098124092118,2414.331,,1.0,-0.0025098124092118,0.0,0.0,-0.0025098124092118,-0.0025098124092118,0.9660429381081772,0.9657009479505129
2396.54,-0.0017483538768391,2414.929333333333,,1.0,-0.0017483538768391,0.0,0.0,-0.0017483538768391,-0.0017483538768391,0.9643539531921427,0.9640125609542963
2392.35,0.0046147093861683,2415.7673333333337,,1.0,0.0046147093861683,0.0,0.0,0.0046147093861683,0.0046147093861683,0.968804166431527,0.9684611987677163
