Model,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
SMA,-0.03128629590574866,0.5252225519287834,0.03214091156709642,-0.00021174691295544357,0.03784516264036556,0.5232,0.05914270211611503,0.00031663626971977963,eth,long_only,no_cost
XGBoost,0.019048192525004736,0.5337111307336241,0.09429034582132564,0.0001385882880176782,0.015428310894700939,0.5229468660453076,0.104091888011486,0.00013301635955053335,eth,long_only,no_cost
GRU,-0.0010077807535255482,0.551634952875754,0.1878954224041682,-1.687182358249135e-05,-0.020802799458760325,0.527506939010422,0.08952229893636873,-0.00013880535139654024,eth,short_only,with_cost
LightGBM,0.04025693069522168,0.5939104319788902,0.018423983664377204,0.00022822073513701258,-0.0550019010791929,0.5093900829014121,0.05116279069767442,-0.0003985352089163655,eth,short_only,with_cost
Logistic Regression,0.08324509816258921,0.6003879597602015,0.03257842955262669,0.0006759508260934792,-0.021156990445210643,0.5227641275430084,0.26176744186046513,-0.00018345662427195992,eth,short_only,with_cost
RSI,-0.02522739969224422,0.5376499793131981,0.4828162734534646,-0.00014344559179996593,-0.02016806420215098,0.5198342214328004,0.49059415161110076,-0.00014353656402838288,eth,short_only,with_cost
SMA,0.013031750430721674,0.5027916544225683,0.32083255203450217,9.171161764150732e-05,0.002241139226847508,0.4925373134328358,0.3784545967287084,1.943492914056934e-05,eth,short_only,with_cost
XGBoost,-0.04765752352369093,0.5198777983930966,0.09272322257286059,-0.00026357662721013974,-0.020675831138358372,0.5195757132366774,0.19288372093023257,-0.00013999798007991539,eth,short_only,with_cost
GRU,0.02808897749588164,0.551634952875754,0.1878954224041682,0.00014511524023294483,0.010916998534101418,0.527506939010422,0.08952229893636873,7.793719395155844e-05,eth,short_only,no_cost
LightGBM,0.09685248778780561,0.5939104319788902,0.018423983664377204,0.0005346948426914527,-0.015860670839720002,0.5093900829014121,0.05116279069767442,-0.00011570925525522139,eth,short_only,no_cost
Logistic Regression,0.12284486654986071,0.6003879597602015,0.03257842955262669,0.0009433226283639094,-0.0004459365373153633,0.5227641275430084,0.26176744186046513,-1.4665023342739521e-06,eth,short_only,no_cost
RSI,-0.013337833993391708,0.5376499793131981,0.4828162734534646,-7.582043664895227e-05,-0.011192817335153647,0.5198342214328004,0.49059415161110076,-7.964274125356543e-05,eth,short_only,no_cost
SMA,0.013895370392113526,0.5027916544225683,0.32083255203450217,9.777979278109008e-05,0.002784132360478655,0.4925373134328358,0.3784545967287084,2.4144985416566398e-05,eth,short_only,no_cost
XGBoost,0.0006766806069334937,0.5198777983930966,0.09272322257286059,9.299572552874483e-06,0.015348173210652058,0.5195757132366774,0.19288372093023257,0.00010913518797520413,eth,short_only,no_cost
GRU,0.004844361468848736,0.6782977729150099,0.0780339551393379,2.29259965028245e-05,-0.008490513633313367,0.4629230794999506,0.09162323099061508,-5.3336009817436976e-05,eth,long_short,with_cost
LightGBM,-0.000442190795411055,0.5832412360217165,0.09010501452691372,1.1679802333572581e-05,-0.019696036848199143,0.5094991422017382,0.08683484281874489,-0.00018130013779450802,eth,long_short,with_cost
Logistic Regression,0.037570282043559465,0.7498684867943912,0.028811848716276615,0.00021553923210710182,-0.0029747560145649346,0.4419278112383924,0.12611615803268836,1.8412880913224662e-05,eth,long_short,with_cost
RSI,-0.022596329799920194,0.54536608554701,0.47424288172583123,-0.0001360147327406678,-0.021553315651629268,0.5281831957763784,0.46608329012972916,-0.00016533100734557045,eth,long_short,with_cost
SMA,0.0014863032191307012,0.5347190250507786,0.24654809113531295,9.573648750111504e-06,-0.006065984753766401,0.5064578308285401,0.24190918666807545,-5.109634750894582e-05,eth,long_short,with_cost
XGBoost,-0.03748373682806409,0.5267076465459125,0.10456154719789182,-0.00023502337049777873,-0.01982142183994247,0.5209883287471415,0.16174091804537638,-0.00014835742291918692,eth,long_short,with_cost
GRU,0.03038959319620616,0.6782977729150099,0.0780339551393379,0.00019291418235100385,0.018171487797309704,0.4629230794999506,0.09162323099061508,0.00016060318429897657,eth,long_short,no_cost
LightGBM,0.033228452698168445,0.5832412360217165,0.09010501452691372,0.00026132770293397334,0.009146422395267303,0.5094991422017382,0.08683484281874489,7.515545667285866e-05,eth,long_short,no_cost
Logistic Regression,0.0767396109496438,0.7498684867943912,0.028811848716276615,0.00047471133378897975,0.020301562031142792,0.4419278112383924,0.12611615803268836,0.00022572868967427908,eth,long_short,no_cost
RSI,-0.006005714496374306,0.54536608554701,0.47424288172583123,-3.612518929442337e-05,-0.00921422188181583,0.5281831957763784,0.46608329012972916,-7.065114824901015e-05,eth,long_short,no_cost
SMA,0.0027983231310600466,0.5347190250507786,0.24654809113531295,1.802169702467306e-05,-0.004933199723140303,0.5064578308285401,0.24190918666807545,-4.155328620770476e-05,eth,long_short,no_cost
XGBoost,0.008165054364210953,0.5267076465459125,0.10456154719789182,5.1096728357821084e-05,0.01729415056518549,0.5209883287471415,0.16174091804537638,0.00013453905914193254,eth,long_short,no_cost
GRU,0.06589147386328732,0.6371942972644138,0.03637276378240234,0.00123968339809635,0.1469712953145873,0.5911160055420017,0.006225009087604507,0.0017531429104610402,xrp,long_only,with_cost
LightGBM,-0.03204827498139575,0.5870071954190471,0.026694606413994168,-0.00031365864521625247,0.09778679383585152,0.5442838467525819,0.012926342525399129,0.0016138162943065393,xrp,long_only,with_cost
Logistic Regression,-0.019617815877065212,0.597757124035847,0.1548378279883382,-0.0004588734450456241,0.12833312191987323,0.6010526479233368,0.03864296081277213,0.002186061605813799,xrp,long_only,with_cost
RSI,0.006919276530754067,0.549043549043549,0.4917973022238425,5.499574794015828e-05,0.009326294202155373,0.5310330747243773,0.4720508166969147,9.653943381689538e-05,xrp,long_only,with_cost
SMA,0.024399096596182012,0.5341463414634147,0.040087863811092805,0.00039939277715011557,0.05682127940290055,0.5005359056806002,0.08503277494537509,0.0009700849631740482,xrp,long_only,with_cost
XGBoost,-0.010660704212048445,0.5498285011833635,0.056987973760932946,-9.981007686109692e-05,-0.0061513791265841635,0.5247159911130127,0.10536103047895501,-4.273723866239426e-05,xrp,long_only,with_cost
GRU,0.08256380372633683,0.6371942972644138,0.03637276378240234,0.0014734501779281068,0.17545390491891735,0.5911160055420017,0.006225009087604507,0.001999667578392729,xrp,long_only,no_cost
LightGBM,-0.01040378190502843,0.5870071954190471,0.026694606413994168,-2.9417733681662427e-05,0.11935297699424219,0.5442838467525819,0.012926342525399129,0.001938490174700837,xrp,long_only,no_cost
Logistic Regression,-0.0084344837929057,0.597757124035847,0.1548378279883382,-0.00025114215450482553,0.14383020890317721,0.6010526479233368,0.03864296081277213,0.002441956856614402,xrp,long_only,no_cost
