Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Cumulative Return no_cost,Cumulative Return with_cost,Number of Trades no_cost,Number of Trades with_cost,Test Avg Return no_cost,Test Avg Return with_cost,Test Sharpe no_cost,Test Sharpe with_cost,Turnover no_cost,Turnover with_cost,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
BTC,RSI,Rule,rule_based,rule,rule,long_only,0.4474182540412832,-0.23692354141442984,1829.0,1829.0,9.55697550100936e-05,2.438727001342767e-05,0.018483884968819957,0.004717332293441917,1829.0,1829.0,0.01376655267537804,7.118248499666593e-05,0.684341795455713
BTC,RSI,Rule,rule_based,rule,rule,long_short,0.34071968210444914,-0.6353240667336932,2913.0,2913.0,4.27502343018375e-05,-5.458963634285266e-05,0.008670982358890236,-0.011062414997532011,3719.0,3719.0,0.019733397356422246,9.733987064469016e-05,0.9760437488381424
BTC,RSI,Rule,rule_based,rule,rule,short_only,-0.07371647527516112,-0.522038833677365,1890.0,1890.0,-3.963943733634109e-06,-6.898261878769346e-05,-0.000842017583864368,-0.014643616770335299,1890.0,1890.0,0.01380159918647093,6.501867505405936e-05,0.4483223584022039
BTC,SMA,Rule,rule_based,rule,rule,long_only,-0.021714522587424234,-0.04405944505596182,66.0,66.0,-1.7310779073467822e-05,-3.715613989821005e-05,-0.002716220222903594,-0.005829349618067595,66.0,66.0,0.0031131293951640005,1.9845360824742227e-05,0.022344922468537587
BTC,SMA,Rule,rule_based,rule,rule,long_short,-0.021714522587424234,-0.04405944505596182,66.0,66.0,-1.7310779073467822e-05,-3.715613989821005e-05,-0.002716220222903594,-0.005829349618067595,66.0,66.0,0.0031131293951640005,1.9845360824742227e-05,0.022344922468537587
BTC,SMA,Rule,rule_based,rule,rule,short_only,-0.2830393010680978,-0.3052864615012548,90.0,90.0,-6.661816037307711e-05,-7.04568150160213e-05,-0.012386916297738686,-0.013098797757732521,90.0,90.0,0.0007118814599938357,3.838654642944182e-06,0.022247160433157
BTC,XGBoost,ML,candle_extended,candle,extended,long_only,0.26967778957282595,-0.4733644251291025,2514.0,2514.0,0.0001607279970984543,-0.00011597011610909279,0.03501603537065477,-0.025240621322352177,2514.0,2514.0,0.06025665669300695,0.0002766981132075471,0.7430422147019284
BTC,XGBoost,ML,candle_extended,candle,extended,long_short,0.3877314183082903,-0.8083842832147788,5185.0,5185.0,0.00010244200954676939,-0.000214769528914769,0.02057527784492381,-0.043090145770789005,5656.0,5656.0,0.06366542361571281,0.00031721153846153835,1.1961157015230692
BTC,XGBoost,ML,candle_extended,candle,extended,short_only,0.05219448239418356,-0.6450235994794642,3104.0,3104.0,3.937099310114768e-05,-0.00022993986460832175,0.007406916855208995,-0.04324336187432938,3104.0,3104.0,0.050650278729538374,0.00026931085770946946,0.6972180818736478
BTC,XGBoost,ML,candle_raw,candle,raw,long_only,0.9925386740449715,-0.5246081851972608,4094.0,4094.0,0.0002200728623516559,1.0523286452270118e-05,0.03626822163087065,0.001733392657517489,4094.0,4094.0,0.03453482897335316,0.00020954957589938578,1.5171468592422324
BTC,XGBoost,ML,candle_raw,candle,raw,long_short,0.9600142217299505,-0.8953126142161182,6670.0,6670.0,0.00012092705063532439,-0.00020487582865592698,0.022482891868522578,-0.03803174419790179,8369.0,8369.0,0.06051463606642437,0.0003258028792912514,1.8553268359460686
BTC,XGBoost,ML,candle_raw,candle,raw,short_only,-0.020847842403115324,-0.8027674694255431,4577.0,4577.0,4.70123759757957e-06,-0.00023697297054721674,0.000999276363558679,-0.050300321804174236,4577.0,4577.0,0.05129959816773291,0.0002416742081447963,0.7819196270224278
BTC,XGBoost,ML,ohlc_extended,ohlc,extended,long_only,0.3931713139921882,-0.4668143232599713,2744.0,2744.0,0.00017800233456354619,-6.563033920611382e-05,0.04032863672978121,-0.014869094504773969,2744.0,2744.0,0.05519773123455518,0.00024363267376966,0.8599856372521595
BTC,XGBoost,ML,ohlc_extended,ohlc,extended,long_short,0.13593216363675165,-0.8829610561274578,5687.0,5687.0,3.580444233337223e-05,-0.00025039862589432246,0.007976362174281566,-0.055688280106300184,6492.0,6492.0,0.06366464228058175,0.0002862030682276947,1.0188932197642093
BTC,XGBoost,ML,ohlc_extended,ohlc,extended,short_only,-0.14915951959917362,-0.7406887019358819,3394.0,3394.0,-5.072908156443447e-05,-0.0002718571530461917,-0.011690814019055248,-0.06254782635682678,3394.0,3394.0,0.050857012337771526,0.00022112807148175721,0.5915291823367083
BTC,XGBoost,ML,ohlc_raw,ohlc,raw,long_only,-0.015784251893670498,-0.3958536794288211,1394.0,1394.0,1.8993715361338067e-05,-0.00019556213336337604,0.002338096992407273,-0.024057483472530235,1394.0,1394.0,0.026395580464937507,0.0002145558487247141,0.3800694275351506
