Feature Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
raw,0.03733406388011195,0.536391605879328,0.09994369872368666,0.00029535717423078556,0.0707577050644817,0.5325577339016278,0.10456974415995438,0.000492531930698741,btc,long_only,no_cost
extended,-0.009319449047806237,0.5747654249064109,0.12309945810468724,-4.208641252265332e-05,-0.04847222224013681,0.5416619942163252,0.2137125728174413,-0.00029783979712055147,btc,short_only,with_cost
raw,-6.13027978845136e-05,0.5257900894854993,0.11061793072281526,1.8102508533687322e-05,-0.02582667045383897,0.4995007893728446,0.4484240945290206,-0.0001227942641212624,btc,short_only,with_cost
extended,0.0355961328640205,0.5747654249064109,0.12309945810468724,0.00020746042890857676,0.0013604157939473395,0.5416619942163252,0.2137125728174413,-6.92804140068276e-05,btc,short_only,no_cost
raw,0.04278303052037934,0.5257900894854993,0.11061793072281526,0.00025681702478817895,0.010709888573515344,0.4995007893728446,0.4484240945290206,4.520027631315694e-05,btc,short_only,no_cost
extended,0.025181217694789527,0.6684265586496816,0.052859619952110345,0.0001690544336246205,0.014113954365328824,0.5438340499702163,0.07011328476259272,0.0001100132946567972,btc,long_short,with_cost
raw,-0.013351980472249787,0.6238526629908245,0.08636270470304175,-6.272574450009286e-05,-0.008412054246451426,0.5373763710877668,0.2035246321956316,-1.2486723115484255e-05,btc,long_short,with_cost
extended,0.0737175734599813,0.6684265586496816,0.052859619952110345,0.000446121511285725,0.0659090793022333,0.5438340499702163,0.07011328476259272,0.00037574603924374653,btc,long_short,no_cost
raw,0.028358400837287176,0.6238526629908245,0.08636270470304175,0.00016804071767993712,0.029967490007229213,0.5373763710877668,0.2035246321956316,0.0001989860544011609,btc,long_short,no_cost
extended,-0.013764733918335088,0.5747408728997686,0.09132188880927095,-0.00010264900251336254,-0.014509703386559714,0.5547389243679218,0.07337357835900073,-0.00013173813684375356,eth,long_only,with_cost
raw,0.011626405749896372,0.5311826933573227,0.10215638384913196,0.00017914259173211426,-0.04230612198689796,0.4752062506934644,0.15204317054403058,-0.000485582625393504,eth,long_only,with_cost
extended,0.021017910577346824,0.5747408728997686,0.09132188880927095,0.0001639622272370258,0.013616671961971026,0.5547389243679218,0.07337357835900073,0.00014221833877057786,eth,long_only,no_cost
raw,0.039801240313292116,0.5311826933573227,0.10215638384913196,0.0004225495604949545,-0.016950709164129985,0.4752062506934644,0.15204317054403058,-0.00022806642090941425,eth,long_only,no_cost
extended,0.0080122274815552,0.5829996383082295,0.04593970764087739,1.8679336797258145e-05,-0.029458172586639915,0.5277699014938921,0.10453780425886464,-0.00021089378761911002,eth,short_only,with_cost
raw,0.029602457898175984,0.5517011465085212,0.055624604073643544,0.0003054941863533203,-0.03065726678274746,0.5099220958111255,0.1816405822725641,-0.0002088219284316986,eth,short_only,with_cost
extended,0.0524443242726533,0.5829996383082295,0.04593970764087739,0.0002838742312243099,0.0022382187812197995,0.5277699014938921,0.10453780425886464,3.3255292007054895e-05,eth,short_only,no_cost
raw,0.0735098959829291,0.5517011465085212,0.055624604073643544,0.0005657396692438987,0.003741064579411071,0.5099220958111255,0.1816405822725641,3.712605504830275e-05,eth,short_only,no_cost
extended,0.0026105601269629363,0.6468616988081467,0.06115279152810689,-1.8033161165448474e-05,-0.011942588881348588,0.5031361513171273,0.07291830629797011,-9.569340121463685e-05,eth,long_short,with_cost
raw,0.006764910643734851,0.6238566711363521,0.07214989106326283,0.00012681129085355755,-0.019291850314646312,0.5065703510168986,0.16207970400341357,-0.00014573582862790303,eth,long_short,with_cost
extended,0.0398949670218166,0.6468616988081467,0.06115279152810689,0.00023211523043143914,0.015816481112298837,0.5031361513171273,0.07291830629797011,0.0001564918988515583,eth,long_short,no_cost
raw,0.03776490163154821,0.6238566711363521,0.07214989106326283,0.0003454043497983799,0.008255074706418689,0.5065703510168986,0.16207970400341357,6.425195360388507e-05,eth,long_short,no_cost
extended,-0.006979343842096937,0.6123303833147835,0.033854640667094524,-0.00015386427621674794,0.09813822525833824,0.5897504359972092,0.04261610865609494,0.00176581202844655,xrp,long_only,with_cost
raw,-0.0225065069542637,0.5478064106392665,0.17674820671501268,-0.0003379751846636864,0.031675895273828636,0.5132954105129905,0.09487304952836778,0.00041690496983651395,xrp,long_only,with_cost
extended,0.009921074636015199,0.6123303833147835,0.033854640667094524,0.00011665146869868749,0.11567409378919187,0.5897504359972092,0.04261610865609494,0.002056936341266575,xrp,long_only,no_cost
raw,-0.0024311111689609114,0.5478064106392665,0.17674820671501268,-0.0001255572445029604,0.05456597737772935,0.5132954105129905,0.09487304952836778,0.0006583211895209125,xrp,long_only,no_cost
extended,-0.03307989311963735,0.5815417590398042,0.037376753798239834,-0.000684615429173094,-0.0273916815877985,0.5197863630875744,0.237625698037767,-0.00031728172018161426,xrp,short_only,with_cost
raw,-0.05493774303584572,0.5312338547753354,0.04018195602729335,-0.0010591963719889512,-0.022546026241525633,0.4945465428418716,0.4607643390751373,-0.00023288226029181245,xrp,short_only,with_cost
extended,-0.015475441092767037,0.5815417590398042,0.037376753798239834,-0.00041032340792253747,-0.008133568501711212,0.5197863630875744,0.237625698037767,-0.00011119451632476851,xrp,short_only,no_cost
raw,-0.037524326947953116,0.5312338547753354,0.04018195602729335,-0.0007821260486578167,-0.008433239863988994,0.4945465428418716,0.4607643390751373,-9.046237479620578e-05,xrp,short_only,no_cost
extended,-0.021931372136754612,0.6952128855352266,0.028721318740292587,-0.0004133200119539625,-0.0098528095595882,0.5819891283555412,0.10938401505774382,-0.0001027043148137643,xrp,long_short,with_cost
raw,-0.026379413914995077,0.6004255266302752,0.06799625469963094,-0.000414093778450424,-0.023660020609366873,0.4759303828988586,0.22009967922511547,-0.0002789612468711283,xrp,long_short,with_cost
