Bundle,Input Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime,Feature Type,Model
table11_feasible,,-0.0086010826856292,0.5956980607151703,0.0502762144574526,-4.2764813933951765e-05,-0.0326069759790691,0.5387813442279472,0.0978203795088911,-0.0001412452632355,btc,short_only,with_cost,extended,
table11_feasible,,-0.00344470892562,0.5256117583192266,0.1181612050775306,7.224696515380086e-07,-0.03584831929758,0.4957495526065318,0.3971108596645659,-0.0002060239245432,btc,short_only,with_cost,raw,
table11_feasible,,0.0417689233796434,0.5956980607151703,0.0502762144574526,0.0002439321216151,0.0290133231150583,0.5387813442279472,0.0978203795088911,0.000120028108126,btc,short_only,no_cost,extended,
table11_feasible,,0.0395406205445486,0.5256117583192266,0.1181612050775306,0.0002447450744709,0.0006506535813839,0.4957495526065318,0.3971108596645659,-2.587278917564361e-05,btc,short_only,no_cost,raw,
table11_feasible,,0.0416747179518635,0.7017140184092898,0.0488050223526981,0.0002535648561233,-0.0044868350509106,0.5362542989551747,0.0670392898835797,-3.360084455301485e-07,btc,long_short,with_cost,extended,
table11_feasible,,-0.0108610303438109,0.6341241768224485,0.1421351409125368,-5.074248384967519e-05,-0.0200046571822978,0.5115118061009711,0.1983941697927471,-7.047706852840381e-05,btc,long_short,with_cost,raw,
table11_feasible,,0.0936589433099308,0.7017140184092898,0.0488050223526981,0.0005409083697426,0.0511401662630925,0.5362542989551747,0.0670392898835797,0.0002759086204737,btc,long_short,no_cost,extended,
table11_feasible,,0.0292406392652232,0.6341241768224485,0.1421351409125368,0.0001854979566754,0.0216185351755143,0.5115118061009711,0.1983941697927471,0.0001570253315341,btc,long_short,no_cost,raw,
table11_feasible,,-0.0139384507651365,0.5770429479003283,0.0795707159474882,-8.696211636899698e-05,-0.0036195440352718,0.5749095308872125,0.0634903797965569,-1.8664445497148885e-05,eth,long_only,with_cost,extended,
table11_feasible,,0.0074812345322674,0.5381374376306804,0.0971683226958505,0.0001181200954207,-0.0381391695708287,0.4855017342983706,0.1378221408028462,-0.0004361626104809,eth,long_only,with_cost,raw,
table11_feasible,,0.022320473984796,0.5770429479003283,0.0795707159474882,0.0001799151634165,0.0252625682072973,0.5749095308872125,0.0634903797965569,0.000248063673851,eth,long_only,no_cost,extended,
table11_feasible,,0.035979018385361,0.5381374376306804,0.0971683226958505,0.0003739574015316,-0.0110062027712819,0.4855017342983706,0.1378221408028462,-0.0001614504845253,eth,long_only,no_cost,raw,
table11_feasible,,0.0120443495750126,0.5870920754669107,0.0569650146747442,4.843877681697071e-05,-0.0340833506152507,0.5379875428891764,0.1166902580748751,-0.0002637233118639,eth,short_only,with_cost,extended,
table11_feasible,,0.0253740127152845,0.5458134960370605,0.1088455144222721,0.0002634227784019,-0.0247354104455104,0.5016308884565834,0.1809778681374952,-0.0001666742704684,eth,short_only,with_cost,raw,
table11_feasible,,0.0587985432160397,0.5870920754669107,0.0569650146747442,0.0003199739410091,-0.0002197312862628,0.5379875428891764,0.1166902580748751,-1.717289555498854e-05,eth,short_only,no_cost,extended,
table11_feasible,,0.0654329630042009,0.5458134960370605,0.1088455144222721,0.0004962422009114,0.0051990134701219,0.5016308884565834,0.1809778681374952,5.212120772362216e-05,eth,short_only,no_cost,raw,
table11_feasible,,0.0037973005406756,0.6441375645557519,0.0572891107976642,-9.272072090954048e-06,-0.0081523684518728,0.4955072721170749,0.0653212523123245,-4.956178798487653e-05,eth,long_short,with_cost,extended,
table11_feasible,,-0.0015529425962091,0.6249200065827633,0.0934670719925457,1.6832902313814138e-05,-0.017338995716137,0.4721619087265364,0.1678363226313877,-0.000132728556824,eth,long_short,with_cost,raw,
table11_feasible,,0.0442714061147182,0.6441375645557519,0.0572891107976642,0.0002542599334639,0.0231499115337204,0.4955072721170749,0.0653212523123245,0.0002179789999436,eth,long_short,no_cost,extended,
table11_feasible,,0.0299899494893964,0.6249200065827633,0.0934670719925457,0.0002357650402519,0.0093068998607321,0.4721619087265364,0.1678363226313877,8.003419495032505e-05,eth,long_short,no_cost,raw,
table11_feasible,,0.0263110658332006,0.630704494601443,0.0333069955411361,0.0005283008032331,0.1307073300597974,0.6082691018064558,0.0416846291940811,0.0022404480428569,xrp,long_only,with_cost,extended,
table11_feasible,,-0.0245287264368116,0.5551890643498927,0.1041395904316976,-0.0003446301877464,0.0527625859120665,0.5223151438590108,0.0398930422582842,0.0005146937431025,xrp,long_only,with_cost,raw,
table11_feasible,,0.0432693809218733,0.630704494601443,0.0333069955411361,0.0007919326618381,0.1487636995690962,0.6082691018064558,0.0416846291940811,0.0025305373960659,xrp,long_only,no_cost,extended,
table11_feasible,,-0.0014762592749626,0.5551890643498927,0.1041395904316976,-9.873562224665276e-05,0.082456974134551,0.5223151438590108,0.0398930422582842,0.0007840450308686,xrp,long_only,no_cost,raw,
table11_feasible,,-0.0340783386190608,0.5836410390417464,0.0335773617009754,-0.0007238161498286,-0.0368851795805635,0.5169045857809894,0.1696021183868201,-0.0004492539731098,xrp,short_only,with_cost,extended,
table11_feasible,,-0.0006083768244465,0.5506166261412625,0.0407272724915946,-0.0005975110624528,-0.0209073467265616,0.4964463474104297,0.4399382747296727,-0.0002581111818326,xrp,short_only,with_cost,raw,
table11_feasible,,-0.016740864929198,0.5836410390417464,0.0335773617009754,-0.0004507080387321,-0.0172198825085105,0.5169045857809894,0.1696021183868201,-0.0002311316608259,xrp,short_only,no_cost,extended,
table11_feasible,,0.0230696471732953,0.5506166261412625,0.0407272724915946,-0.0003264741432592,-0.0089933283973201,0.4964463474104297,0.4399382747296727,-0.0001287438925665,xrp,short_only,no_cost,raw,
