Feature Type,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Scope,Strategy_Mode,Cost_Regime
raw,-0.00886769767666761,0.6004255266302752,0.067996254699631,-0.00019202344344977792,-0.010054443048633224,0.4759303828988586,0.2200996792251155,-0.00013231035459212778,xrp,long_short,no_cost
extended,0.12051926686421346,0.5859839378396553,0.04887453486797256,0.0017214818944604683,0.029217112427657954,0.5379713868953792,0.0663793854168054,0.00035749453717535897,sol,long_only,with_cost
raw,0.029424393427413514,0.5219593972460498,0.14088608059074606,0.0004327517276153209,-0.022322175708684555,0.5193942750851622,0.23108296955879118,-0.00017310569014136003,sol,long_only,with_cost
extended,0.1397232137369806,0.5859839378396553,0.04887453486797256,0.001988193240297941,0.04978147793191587,0.5379713868953792,0.0663793854168054,0.0006101397230967733,sol,long_only,no_cost
raw,0.04957110613109433,0.5219593972460498,0.14088608059074606,0.0006711681673863155,-0.0006892691419048031,0.5193942750851622,0.23108296955879118,4.509960939715403e-05,sol,long_only,no_cost
extended,0.050144431367316514,0.5373338074816066,0.22283535410307254,0.00047696239923545334,-0.005982042057741297,0.5148021444350027,0.2774040273660032,-7.006539107795894e-05,sol,short_only,with_cost
raw,0.002739411280229015,0.5126123923095487,0.06463249429738485,2.8066335821395403e-05,-0.0022723998680222422,0.49810069360662135,0.1748718281413199,-1.7150261777755804e-05,sol,short_only,with_cost
extended,0.07305519500026679,0.5373338074816066,0.22283535410307254,0.0006938041820266282,0.017020953209603423,0.5148021444350027,0.2774040273660032,0.00014111630111878073,sol,short_only,no_cost
raw,0.02504967329832712,0.5126123923095487,0.06463249429738485,0.00026228929626643686,0.019874195766279752,0.49810069360662135,0.1748718281413199,0.0001908766943470548,sol,short_only,no_cost
extended,0.06465041922239922,0.6440296392349447,0.12260299258966253,0.0008130385675059727,0.011726301266215855,0.5416379156171108,0.16218327195338272,0.0001393960364894819,sol,long_short,with_cost
raw,0.019380545179836742,0.6218021835211968,0.08894486008158528,0.00024806880911930313,-0.0036953514331327414,0.5387246519221763,0.1622337367690401,3.1707833530573393e-06,sol,long_short,with_cost
extended,0.08316587339391758,0.6440296392349447,0.12260299258966253,0.0010314828860368947,0.03058062702273236,0.5416379156171108,0.16218327195338272,0.00033900210826636975,sol,long_short,no_cost
raw,0.037994971978109346,0.6218021835211968,0.08894486008158528,0.0004567187356656671,0.016177753951673535,0.5387246519221763,0.1622337367690401,0.00019466399436796468,sol,long_short,no_cost
