Asset,Model,Model Family,Feature Set,Strategy Mode,Cost Regime,Validation Precision,Validation Recall,Validation Sharpe,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Threshold Feasible
BTC,LightGBM,ML,candle_raw,short_only,no_cost,0.5189664650907092,0.17598806860551827,0.005745501650371567,0.008216518417154497,0.5007139457401237,0.39013536065269794,3.9616718167226996e-05,True
BTC,LightGBM,ML,ohlc_extended,short_only,no_cost,0.5755813953488372,0.018456375838926176,-0.005390936174637775,0.09658410005278982,0.5493333333333333,0.03819766363804932,0.00042538677037939757,True
BTC,LightGBM,ML,ohlc_raw,short_only,no_cost,0.5671641791044776,0.028337061894108874,0.13740745384418898,0.014573146982470166,0.507218479307026,0.195438531429631,7.126568494101295e-05,True
BTC,LightGBM,ML,candle_extended,short_only,with_cost,0.5916030534351145,0.02889634601043997,0.04780483456666317,0.0018545558703392177,0.5423956931359354,0.0747264973113295,7.805320334604793e-06,True
BTC,LightGBM,ML,candle_raw,short_only,with_cost,0.5189664650907092,0.17598806860551827,-0.04344048411909929,-0.03677126630992809,0.5007139457401237,0.39013536065269794,-0.00017744658502173057,True
BTC,LightGBM,ML,ohlc_extended,short_only,with_cost,0.5755813953488372,0.018456375838926176,-0.059412579915591825,0.026658497678141404,0.5493333333333333,0.03819766363804932,0.00011738677037939768,True
BTC,LightGBM,ML,ohlc_raw,short_only,with_cost,0.5671641791044776,0.028337061894108874,0.08772659632341885,-0.04466243316046823,0.507218479307026,0.195438531429631,-0.00021843595124762988,True
BTC,Logistic Regression,ML,candle_extended,long_only,no_cost,0.6314699792960663,0.05462034383954155,0.08994627527329699,0.10956359279593234,0.5674676524953789,0.055225760028782156,0.0008474696202368132,True
BTC,Logistic Regression,ML,candle_raw,long_only,no_cost,0.5398773006134969,0.015759312320916905,0.033551584008504304,0.07943178000188991,0.5211640211640212,0.03543802842237813,0.0007010858192389939,True
BTC,Logistic Regression,ML,ohlc_extended,long_only,no_cost,0.6197916666666666,0.04262177650429799,0.07159898361811426,0.050789048873799855,0.5698529411764706,0.02788271271811477,0.00037497613139863043,True
BTC,Logistic Regression,ML,ohlc_raw,long_only,no_cost,0.5909090909090909,0.013968481375358166,0.06846719372494353,0.08066924188078818,0.5770750988142292,0.02626371649577262,0.0006744993136065309,True
BTC,Logistic Regression,ML,candle_extended,long_only,with_cost,0.6314699792960663,0.05462034383954155,0.055640143891608596,0.0741809540242801,0.5674676524953789,0.055225760028782156,0.0005738097311425435,True
BTC,Logistic Regression,ML,candle_raw,long_only,with_cost,0.5398773006134969,0.015759312320916905,0.009133820364861826,0.047221148145452,0.5211640211640212,0.03543802842237813,0.00041682655997973475,True
BTC,Logistic Regression,ML,ohlc_extended,long_only,with_cost,0.6197916666666666,0.04262177650429799,0.028505036510178886,0.012820693429327294,0.5698529411764706,0.02788271271811477,9.446142551627762e-05,True
BTC,Logistic Regression,ML,ohlc_raw,long_only,with_cost,0.5909090909090909,0.013968481375358166,0.043853297374881924,0.0442774143163031,0.5770750988142292,0.02626371649577262,0.0003701514875195744,True
BTC,Logistic Regression,ML,candle_extended,long_short,no_cost,0.8157349896480331,0.02740338593915929,0.09513417803228574,0.11105621533973835,0.5337338262476894,0.02807644389349362,0.0008537211704362338,True
BTC,Logistic Regression,ML,candle_raw,long_short,no_cost,0.7620772946859904,0.019523729778700837,0.038509653079526536,0.10385205726243298,0.6294358507734303,0.03122449210360335,0.0008967917572932158,True
BTC,Logistic Regression,ML,ohlc_extended,long_short,no_cost,0.821875,0.019381171088590176,0.0469219545547152,0.048680659634724274,0.5712550028587764,0.030853974559507575,0.00021957596436264016,True
BTC,Logistic Regression,ML,ohlc_raw,long_short,no_cost,0.7938432835820896,0.0565043888044888,0.030453584101740157,0.04491024643856324,0.538215236194278,0.1075242713507983,0.00023002867696122827,True
BTC,Logistic Regression,ML,candle_extended,long_short,with_cost,0.8157349896480331,0.02740338593915929,0.060942378556896354,0.07510802402268706,0.5337338262476894,0.02807644389349362,0.0005774053809625498,True
BTC,Logistic Regression,ML,candle_raw,long_short,with_cost,0.7620772946859904,0.019523729778700837,0.01000077008341372,0.07323910648018235,0.6294358507734303,0.03122449210360335,0.0006327760092617199,True
BTC,Logistic Regression,ML,ohlc_extended,long_short,with_cost,0.821875,0.019381171088590176,-0.010895096016973676,-0.003221631852656115,0.5712550028587764,0.030853974559507575,-1.4541682696183304e-05,True
BTC,Logistic Regression,ML,ohlc_raw,long_short,with_cost,0.7938432835820896,0.0565043888044888,-0.004505892086488351,-0.005841688593445015,0.538215236194278,0.1075242713507983,-2.991284350660794e-05,True
BTC,Logistic Regression,ML,candle_extended,short_only,no_cost,0.6153846153846154,0.049217002237136466,0.06253140442157923,0.05616302790620558,0.5629343629343629,0.13517522714630076,0.00020220115488420195,True
BTC,Logistic Regression,ML,candle_raw,short_only,no_cost,0.5172413793103449,0.016778523489932886,0.07898823911305122,0.029589622658603303,0.5104079933388843,0.45466345262377156,0.0001024964678411536,True
BTC,Logistic Regression,ML,ohlc_extended,short_only,no_cost,0.64375,0.038404175988068605,0.036041011344317433,0.0476606404749518,0.5591766723842195,0.06044872983497126,0.00020212453413689948,True
BTC,Logistic Regression,ML,ohlc_raw,short_only,no_cost,0.534185303514377,0.1558538404175988,0.013997123306470403,0.009603482064215582,0.5040081435297111,0.7344706100500649,4.004531073335856e-05,True
BTC,Logistic Regression,ML,candle_extended,short_only,with_cost,0.6153846153846154,0.049217002237136466,0.014855848461993604,-0.00298627904102195,0.5629343629343629,0.13517522714630076,-1.077181808877099e-05,True
BTC,Logistic Regression,ML,candle_raw,short_only,with_cost,0.5172413793103449,0.016778523489932886,0.032134693382380654,-0.00523851581826435,0.5104079933388843,0.45466345262377156,-1.815299094319275e-05,True
BTC,Logistic Regression,ML,ohlc_extended,short_only,with_cost,0.64375,0.038404175988068605,-0.022705802185568814,-0.006834267779746428,0.5591766723842195,0.06044872983497126,-2.9007541334798614e-05,True
BTC,Logistic Regression,ML,ohlc_raw,short_only,with_cost,0.534185303514377,0.1558538404175988,-0.0231800895438305,-0.006952867717707847,0.5040081435297111,0.7344706100500649,-2.902836276199706e-05,True
BTC,RSI,Rule,rule_based,long_only,no_cost,0.5525309336332959,0.44014336917562724,0.017392808960042937,0.018483884968819957,0.5370082240497889,0.43476696059024655,9.55697550100936e-05,True
BTC,RSI,Rule,rule_based,long_only,with_cost,0.5525309336332959,0.44014336917562724,0.003048313240864416,0.004717332293441917,0.5370082240497889,0.43476696059024655,2.438727001342767e-05,True
BTC,RSI,Rule,rule_based,long_short,no_cost,0.5414923776446734,0.4686260587717345,-0.002351218074311333,0.008670982358890236,0.5282839429665103,0.4626507408741879,4.27502343018375e-05,True
BTC,RSI,Rule,rule_based,long_short,with_cost,0.5414923776446734,0.4686260587717345,-0.02199185782898639,-0.011062414997532011,0.5282839429665103,0.4626507408741879,-5.458963634285266e-05,True
BTC,RSI,Rule,rule_based,short_only,no_cost,0.5304538216560509,0.4971087483678418,-0.02051415389452405,-0.000842017583864368,0.5195596618832318,0.4905345211581292,-3.963943733634109e-06,True
BTC,RSI,Rule,rule_based,short_only,with_cost,0.5304538216560509,0.4971087483678418,-0.03396319858154411,-0.014643616770335299,0.5195596618832318,0.4905345211581292,-6.898261878769346e-05,True
BTC,SMA,Rule,rule_based,long_only,no_cost,0.5325670498084292,0.07498651321704729,0.027478554871684716,-0.002716220222903594,0.5223367697594502,0.05489346334416757,-1.7310779073467822e-05,True
BTC,SMA,Rule,rule_based,long_only,with_cost,0.5325670498084292,0.07498651321704729,0.024753043247894423,-0.005829349618067595,0.5223367697594502,0.05489346334416757,-3.715613989821005e-05,True
BTC,SMA,Rule,rule_based,long_short,no_cost,0.5390107976314873,0.03805526485131121,0.020434483044251068,-0.002716220222903594,0.5223367697594502,0.027446731672083786,-1.7310779073467822e-05,True
