Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Cumulative Return no_cost,Cumulative Return with_cost,Number of Trades no_cost,Number of Trades with_cost,Test Avg Return no_cost,Test Avg Return with_cost,Test Sharpe no_cost,Test Sharpe with_cost,Turnover no_cost,Turnover with_cost,Sharpe Cost Drag,Avg Return Cost Drag,Cumulative Return Cost Drag
ETH,GRU,ML,candle_extended,candle,extended,long_short,-0.0539511190025938,-0.3617001939996295,1124.0,1124.0,-1.7879609564557988e-05,-0.0002278049030544,-0.0019718886976983,-0.0251204204172122,1124.0,1124.0,0.0231485317195139,0.00020992529348984201,0.3077490749970357
ETH,GRU,ML,candle_extended,candle,extended,short_only,-0.0353199996287582,-0.1613895357397016,400.0,400.0,-0.0001363394176477,-0.000436768602197,-0.0227233516167561,-0.0726623010497244,400.0,400.0,0.0499389494329683,0.00030042918454929995,0.1260695361109434
ETH,GRU,ML,candle_raw,candle,raw,long_short,0.0186793288871041,-0.0699337494352813,260.0,260.0,0.0001606292798167,-0.0001643707201832,0.0212267916225717,-0.0217322133000948,260.0,260.0,0.0429590049226665,0.0003249999999999,0.08861307832238541
ETH,GRU,ML,candle_raw,candle,raw,short_only,0.0186793288871041,-0.0699337494352813,260.0,260.0,0.0001606292798167,-0.0001643707201832,0.0212267916225717,-0.0217322133000948,260.0,260.0,0.0429590049226665,0.0003249999999999,0.08861307832238541
ETH,GRU,ML,ohlc_extended,ohlc,extended,long_only,-0.0653770893442479,-0.1212442582932172,176.0,176.0,-0.0007134726924822,-0.0010634726924822,-0.068303761214722,-0.1018107428792608,176.0,176.0,0.033506981664538804,0.00035000000000000005,0.0558671689489693
ETH,GRU,ML,ohlc_extended,ohlc,extended,long_short,-0.4310620212313766,-0.6755587831617038,1601.0,1601.0,-0.0002298805951882,-0.0003647799240472,-0.0256222756294152,-0.0406319731949955,1602.0,1602.0,0.0150096975655803,0.000134899328859,0.2444967619303272
ETH,GRU,ML,ohlc_extended,ohlc,extended,short_only,0.2732512036521952,0.0458510475537865,562.0,562.0,0.0005337971376827,0.000340194775478,0.0494234989653534,0.0314671568285149,562.0,562.0,0.0179563421368385,0.0001936023622047,0.2274001560984087
ETH,GRU,ML,ohlc_raw,ohlc,raw,long_only,0.3460575040433089,-0.1087229237729257,1178.0,1178.0,0.0001019206878929,6.130800073766647e-05,0.0109535738134994,0.0065896542287215,1178.0,1178.0,0.004363919584777899,4.0612687155233536e-05,0.45478042781623457
ETH,GRU,ML,ohlc_raw,ohlc,raw,long_short,0.4123429135724494,-0.0661305305213967,1180.0,1180.0,0.0001113889226237,7.050042774587585e-05,0.0119712792878998,0.0075779521551691,1182.0,1182.0,0.004393327132730701,4.088849487782415e-05,0.47847344409384607
ETH,LightGBM,ML,candle_extended,candle,extended,long_only,0.0653208862123315,-0.0129524735003002,218.0,218.0,0.000608154898726,0.0003146933602645,0.0396024516480977,0.0204828992797861,218.0,218.0,0.019119552368311598,0.00029346153846150007,0.07827335971263169
ETH,LightGBM,ML,candle_extended,candle,extended,long_short,-0.0379925470449384,-0.2444694241654105,683.0,683.0,-3.3308221647275526e-05,-0.00033089276271,-0.0030683422618358,-0.0304545114717437,690.0,690.0,0.0273861692099079,0.00029758454106272445,0.2064768771204721
ETH,LightGBM,ML,candle_extended,candle,extended,short_only,-0.0966303407805505,-0.3038078709319539,744.0,744.0,-0.0001983564444442,-0.0004870482404531,-0.0270588484822531,-0.0663542735180722,744.0,744.0,0.039295425035819107,0.00028869179600889995,0.2071775301514034
ETH,LightGBM,ML,candle_raw,candle,raw,long_only,0.349971580980245,-0.7012055736165641,4308.0,4308.0,0.0001191671944628,-9.036587946711016e-05,0.0141210305100447,-0.0107035461708907,4308.0,4308.0,0.0248245766809354,0.00020953307392991015,1.0511771545968092
ETH,LightGBM,ML,candle_raw,candle,raw,long_short,0.3045645950159894,-0.7178557472276876,4365.0,4365.0,0.0001088141060769,-0.0001028631178282,0.01292518066257,-0.0122124918464366,4374.0,4374.0,0.0251376725090066,0.00021167722390509999,1.022420342243677
ETH,LightGBM,ML,candle_raw,candle,raw,short_only,-0.0078704898708751,-0.2559902168413253,822.0,822.0,2.260961032795183e-05,-0.0002656669427782,0.0025950590711102,-0.0304561760508824,822.0,822.0,0.0330512351219926,0.0002882765531061518,0.24811972697045018
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,long_only,0.2989013076655116,-0.3974121920328182,2194.0,2194.0,0.0002016835744657,-2.6586342300028372e-05,0.0211174795577727,-0.0027824099069228,2194.0,2194.0,0.0238998894646955,0.00022826991676572837,0.6963134996983298
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,long_short,0.1420826357456597,-0.4869770263672542,2282.0,2282.0,0.0001225381018762,-0.0001083129619535,0.0128363369070703,-0.0113400017249689,2286.0,2286.0,0.024176338632039197,0.0002308510638297,0.6290596621129139
ETH,LightGBM,ML,ohlc_extended,ohlc,extended,short_only,-0.0694950378283515,-0.207323099674992,458.0,458.0,-0.000208249175658,-0.000480868223277,-0.0243096212713447,-0.0562267118851536,458.0,458.0,0.0319170906138089,0.000272619047619,0.13782806184664048
ETH,LightGBM,ML,ohlc_raw,ohlc,raw,long_only,0.222755098396383,-0.114524322318972,922.0,922.0,0.0004011232488606,0.000118053073422,0.0407949090353742,0.0119985626258415,922.0,922.0,0.0287963464095327,0.0002830701754386,0.337279420715355
ETH,LightGBM,ML,ohlc_raw,ohlc,raw,long_short,0.1203253388444374,-0.5216575308013928,2416.0,2416.0,0.0001025778403854,-0.0001831317086861,0.0138925142732646,-0.0247771423496472,2431.0,2431.0,0.0386696566229118,0.0002857095490715,0.6419828696458302
ETH,LightGBM,ML,ohlc_raw,ohlc,raw,short_only,-0.0837696442127141,-0.4597893110483507,1509.0,1509.0,-7.884101124656588e-05,-0.000360557429157,-0.0146692726763924,-0.0669704428626633,1509.0,1509.0,0.05230117018627091,0.0002817164179104341,0.3760196668356366
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_only,0.008243847104189,-0.0775271526012048,254.0,254.0,9.81022941427441e-05,-0.0002149258748713,0.0109433236669487,-0.0239890797373194,254.0,254.0,0.0349324034042681,0.0003130281690140441,0.0857709997053938
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_short,0.2322083065868172,0.1016930112010041,319.0,319.0,0.0012136459341006,0.0009005903785451,0.1178008677355252,0.0873982379047717,320.0,320.0,0.030402629830753494,0.00031305555555549995,0.1305152953858131
ETH,Logistic Regression,ML,candle_extended,candle,extended,short_only,-0.2628530998580918,-0.6597326831331984,2208.0,2208.0,-6.364873812866083e-05,-0.0001969820714619,-0.0069883612341862,-0.0216185938124779,2208.0,2208.0,0.0146302325782917,0.00013333333333323918,0.39687958327510664
ETH,Logistic Regression,ML,candle_raw,candle,raw,long_only,-0.0160230144162113,-0.0201534416076485,12.0,12.0,-0.0026296658540327,-0.0029796658540327,-0.2208954605787175,-0.2502959302558765,12.0,12.0,0.02940046967715898,0.00035000000000000005,0.0041304271914371984
