Asset,Model,Model Family,Feature Set,Input Type,Feature Type,Strategy Mode,Strategy Label,Cost Regime,Long Threshold,Short Threshold,Threshold Feasible,Validation Sharpe,Validation Precision,Validation Recall,Validation Avg Return,Validation Trades,Validation Signal Ratio,Test Sharpe,Test Precision,Test Recall,Test Avg Return,Cumulative Return,Maximum Drawdown,Turnover,Number of Trades,Annualized Sharpe,Model Params,Log Path
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_only,long,no_cost,0.56,,True,0.046851350605113036,0.5962264150943396,0.08537463976945245,0.00035786746356773877,1178,0.07260273972602739,0.010943323666948713,0.5915492957746479,0.01507537688442211,9.81022941427441e-05,0.008243847104189017,-0.06394230938797196,254.0,254.0,0.11702743648211306,"{""model_dir"": ""models/logistic_regression/candle_extended/eth""}",data/trading_logs/no_cost/long_only/logistic_regression/candle_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_extended,candle,extended,short_only,short,with_cost,,0.5700000000000001,True,-0.02040285453711806,0.5866209262435678,0.06348617041024689,-0.00013151368510912252,784,0.05324200913242009,-0.021618593812477972,0.5224292615596964,0.28167441860465114,-0.00019698207146199412,-0.6597326831331984,-0.7262911247856143,2208.0,2208.0,-1.7449829136218828,"{""model_dir"": ""models/logistic_regression/candle_extended/eth""}",data/trading_logs/with_cost/short_only/logistic_regression/candle_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_extended,candle,extended,short_only,short,no_cost,,0.5700000000000001,True,0.01613655258389416,0.5866209262435678,0.06348617041024689,0.0001038207917347883,784,0.05324200913242009,-0.006988361234186297,0.5224292615596964,0.28167441860465114,-6.364873812866083e-05,-0.2628530998580918,-0.5295578667433729,2208.0,2208.0,-0.33649389220894,"{""model_dir"": ""models/logistic_regression/candle_extended/eth""}",data/trading_logs/no_cost/short_only/logistic_regression/candle_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_short,long_short,with_cost,0.56,0.7000000000000002,True,0.014352625099163779,0.7981132075471697,0.042780135923337695,0.0001097750401169432,1180,0.07269406392694064,0.08739823790477172,0.6247220163083766,0.009863269837559892,0.0009005903785451223,0.10169301120100416,-0.11370361943854834,320.0,319.0,0.6875986926511839,"{""model_dir"": ""models/logistic_regression/candle_extended/eth""}",data/trading_logs/with_cost/long_short/logistic_regression/candle_extended/eth/trading_log.csv
ETH,Logistic Regression,ML,candle_extended,candle,extended,long_short,long_short,no_cost,0.56,0.7000000000000002,True,0.0483226929068302,0.7981132075471697,0.042780135923337695,0.00036919715066970694,1180,0.07269406392694064,0.11780086773552528,0.6247220163083766,0.009863269837559892,0.0012136459341006776,0.23220830658681724,-0.06456373790374448,320.0,319.0,1.4077316035815979,"{""model_dir"": ""models/logistic_regression/candle_extended/eth""}",data/trading_logs/no_cost/long_short/logistic_regression/candle_extended/eth/trading_log.csv
XRP,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_only,long,with_cost,0.54,,True,-0.059252105180343344,0.6547619047619048,0.010021865889212828,-0.0014544115855533446,154,0.007671232876712329,0.10642828944128008,0.5902004454342984,0.04807692307692308,0.0019711847988844312,0.9447416587722723,-0.32626864653138166,808.0,808.0,1.6869491690935725,"{""model_dir"": ""models/logistic_regression/ohlc_raw/xrp""}",data/trading_logs/with_cost/long_only/logistic_regression/ohlc_raw/xrp/trading_log.csv
XRP,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_only,long,no_cost,0.54,,True,-0.04621907615346139,0.6547619047619048,0.010021865889212828,-0.0011335782522200108,154,0.007671232876712329,0.12350529085516385,0.5902004454342984,0.04807692307692308,0.002286106847882204,1.5800164905348182,-0.29330387098966537,808.0,808.0,2.3260441338080624,"{""model_dir"": ""models/logistic_regression/ohlc_raw/xrp""}",data/trading_logs/no_cost/long_only/logistic_regression/ohlc_raw/xrp/trading_log.csv
XRP,Logistic Regression,ML,ohlc_raw,ohlc,raw,short_only,short,with_cost,,0.51,True,-0.0861218196792149,0.532967032967033,0.01838514025777104,-0.002054258633273021,290,0.016621004566210046,-0.0049529258703866815,0.5047214353163362,0.7919985182441193,-4.639174268267474e-05,-0.6881797286424074,-0.7601908110620347,2277.0,2277.0,-0.8208580278787124,"{""model_dir"": ""models/logistic_regression/ohlc_raw/xrp""}",data/trading_logs/with_cost/short_only/logistic_regression/ohlc_raw/xrp/trading_log.csv
XRP,Logistic Regression,ML,ohlc_raw,ohlc,raw,short_only,short,no_cost,,0.51,True,-0.07438119108102574,0.532967032967033,0.01838514025777104,-0.0017754124794268679,290,0.016621004566210046,7.082711966453885e-05,0.5047214353163362,0.7919985182441193,6.632620387606034e-07,-0.30793553765715476,-0.6889135644950941,2277.0,2277.0,0.005830471731690133,"{""model_dir"": ""models/logistic_regression/ohlc_raw/xrp""}",data/trading_logs/no_cost/short_only/logistic_regression/ohlc_raw/xrp/trading_log.csv
XRP,Logistic Regression,ML,ohlc_raw,ohlc,raw,long_short,long_short,with_cost,0.6100000000000001,0.5,True,-0.046406253963863796,0.7525062656641603,0.03837402772221203,-0.0006284730172674543,1048,0.0730593607305936,-0.0013232219119793944,0.6063728953414373,0.42070665467534035,-1.2919224640026024e-05,-0.5667086607726526,-0.6977982984012822,1893.0,1766.0,-0.3888581735309306,"{""model_dir"": ""models/logistic_regression/ohlc_raw/xrp""}",data/trading_logs/with_cost/long_short/logistic_regression/ohlc_raw/xrp/trading_log.csv
