asset,symbol,year,month,status,path
ETH,ETHUSDT,2020,8,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-08.csv
ETH,ETHUSDT,2020,9,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-09.csv
ETH,ETHUSDT,2020,10,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-10.csv
ETH,ETHUSDT,2020,11,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-11.csv
ETH,ETHUSDT,2020,12,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2020-12.csv
ETH,ETHUSDT,2021,1,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-01.csv
ETH,ETHUSDT,2021,2,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-02.csv
ETH,ETHUSDT,2021,3,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-03.csv
ETH,ETHUSDT,2021,4,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-04.csv
ETH,ETHUSDT,2021,5,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-05.csv
ETH,ETHUSDT,2021,6,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-06.csv
ETH,ETHUSDT,2021,7,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-07.csv
ETH,ETHUSDT,2021,8,cached,/Users/wuxuande/PycharmProjects/QF4211Project/2020-2024_regime_sandbox/data/raw/monthly/ETHUSDT/ETHUSDT-1h-2021-08.csv
